Indicator,Disaggregation combinations using this value
#1-1,1
#1-2-a,2
#1-2-b,1
#10-1,3
#10-2,1
#10-3,1
#10-4,6
#11-1-a,1
#11-1-b,3
#11-2,3
#11-3,2
#11-4,1
#11-5,7
#11-6,6
#11-7,5
#11-8,3
#11-9,2
#12-1,4
#12-2,1
#12-3,1
#12-4,1
#12-5,1
#12-6,2
#13-1-a,5
#13-1-b,5
#13-2,5
#13-3,1
#14-1,1
#15-1,1
#15-2,1
#15-3,2
#15-4,5
#15-5,13
#16-1,1
#16-2,2
#16-3,2
#16-4,1
#17-3,2
#2-1,3
#2-2,2
#2-3,1
#3-2,1
#3-3,2
#3-4,2
#3-5-a,2
#3-5-b,2
#3-5-c,1
#3-6-a,4
#3-6-b,4
#3-7,1
#3-8-a,7
#3-8-b,6
#4-1-a,4
#4-2,1
#4-3,3
#4-5,1
#4-6,1
#4-7,1
#5-1,6
#5-2,4
#5-3,3
#5-4,2
#6-1,3
#6-2,3
#7-1-a,2
#7-1-b,4
#7-2,2
#7-3,2
#8-1,1
#8-2,2
#8-3,1
#8-4,1
#9-1,1
#9-2,2
#9-4,1
#9-5-a,3
#9-5-b,1
#9-6-a,1
#9-6-b,1
