Year,Units,Region,Durchschnittspreise,Preisindex,Fläche,Value
2012.0,Durchschnittspreise,Enzkreis,Bauland [€/m²],,,161.1
2013.0,Durchschnittspreise,Enzkreis,Bauland [€/m²],,,155.62
2014.0,Durchschnittspreise,Enzkreis,Bauland [€/m²],,,163.13
2015.0,Durchschnittspreise,Enzkreis,Bauland [€/m²],,,171.9
2016.0,Durchschnittspreise,Enzkreis,Bauland [€/m²],,,167.08
2017.0,Durchschnittspreise,Enzkreis,Bauland [€/m²],,,170.34
2018.0,Durchschnittspreise,Enzkreis,Bauland [€/m²],,,153.96
2019.0,Durchschnittspreise,Enzkreis,Bauland [€/m²],,,206.98
2020.0,Durchschnittspreise,Enzkreis,Bauland [€/m²],,,215.95
2021.0,Durchschnittspreise,Enzkreis,Bauland [€/m²],,,243.34
2012.0,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,,183.79
2013.0,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,,184.08
2014.0,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,,184.33
2015.0,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,,190.35
2016.0,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,,182.38
2017.0,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,,193.01
2018.0,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,,205.54
2019.0,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,,227.44
2020.0,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,,245.3
2021.0,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,,309.44
2012.0,Fläche - baureifes Land,Enzkreis,,,Fläche - Baureifes Land [1.000 m²],4860.0
2013.0,Fläche - baureifes Land,Enzkreis,,,Fläche: Baureifes Land [1.000 m²],4834.0
2014.0,Fläche - baureifes Land,Enzkreis,,,Fläche: Baureifes Land [1.000 m²],5136.0
2015.0,Fläche - baureifes Land,Enzkreis,,,Fläche: Baureifes Land [1.000 m²],5453.0
2016.0,Fläche - baureifes Land,Enzkreis,,,Fläche: Baureifes Land [1.000 m²],5105.0
2017.0,Fläche - baureifes Land,Enzkreis,,,Fläche: Baureifes Land [1.000 m²],4152.0
2018.0,Fläche - baureifes Land,Enzkreis,,,Fläche: Baureifes Land [1.000 m²],4309.0
2019.0,Fläche - baureifes Land,Enzkreis,,,Fläche: Baureifes Land [1.000 m²],4594.0
2020.0,Fläche - baureifes Land,Enzkreis,,,Fläche: Baureifes Land [1.000 m²],4478.0
2021.0,Fläche - baureifes Land,Enzkreis,,,Fläche: Baureifes Land [1.000 m²],3451.0
2012.0,Index,Deutschland,,Preisindex für Bauland (Bund),,82.8
2013.0,Index,Deutschland,,Preisindex für Bauland (Bund),,87.9
2014.0,Index,Deutschland,,Preisindex für Bauland (Bund),,93.4
2015.0,Index,Deutschland,,Preisindex für Bauland (Bund),,100.0
2016.0,Index,Deutschland,,Preisindex für Bauland (Bund),,110.0
2017.0,Index,Deutschland,,Preisindex für Bauland (Bund),,122.7
2018.0,Index,Deutschland,,Preisindex für Bauland (Bund),,134.5
2019.0,Index,Deutschland,,Preisindex für Bauland (Bund),,146.1
2020.0,Index,Deutschland,,Preisindex für Bauland (Bund),,156.1
2021.0,Index,Deutschland,,Preisindex für Bauland (Bund),,187.5
,,,,,,
,,,,,,
,,,,,,
