Year,Region,Wohngebäude,Value
2016.0,Enzkreis,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,58.9
2017.0,Enzkreis,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,69.9
2018.0,Enzkreis,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,66.7
2019.0,Enzkreis,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,66.7
2020.0,Enzkreis,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,66.6
2016.0,Land BW,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,56.1
2017.0,Land BW,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,62.3
2018.0,Land BW,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,66.1
2019.0,Land BW,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,68.6
2020.0,Land BW,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,69.7
,,,
