Year,Units,Landratsamt,Value
2010,Endenergieverbrauch,Liegenschaften Landratsamt (witterungsbereinigt),5047196.0
2011,Endenergieverbrauch,Liegenschaften Landratsamt (witterungsbereinigt),5203267.0
2012,Endenergieverbrauch,Liegenschaften Landratsamt (witterungsbereinigt),5550254.0
2013,Endenergieverbrauch,Liegenschaften Landratsamt (witterungsbereinigt),5480620.0
2014,Endenergieverbrauch,Liegenschaften Landratsamt (witterungsbereinigt),5174411.0
2015,Endenergieverbrauch,Liegenschaften Landratsamt (witterungsbereinigt),4996817.0
2016,Endenergieverbrauch,Liegenschaften Landratsamt (witterungsbereinigt),5057217.0
2017,Endenergieverbrauch,Liegenschaften Landratsamt (witterungsbereinigt),5336747.0
2018,Endenergieverbrauch,Liegenschaften Landratsamt (witterungsbereinigt),5686839.0
2019,Endenergieverbrauch,Liegenschaften Landratsamt (witterungsbereinigt),5800651.0
2020,Endenergieverbrauch,Liegenschaften Landratsamt (witterungsbereinigt),6073451.0
2010,Anteil Erneuerbarer Energien,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),
2011,Anteil Erneuerbarer Energien,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),
2012,Anteil Erneuerbarer Energien,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),
2013,Anteil Erneuerbarer Energien,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),
2014,Anteil Erneuerbarer Energien,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),
2015,Anteil Erneuerbarer Energien,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),
2016,Anteil Erneuerbarer Energien,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),61.0
2017,Anteil Erneuerbarer Energien,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),56.0
2018,Anteil Erneuerbarer Energien,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),61.0
2019,Anteil Erneuerbarer Energien,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),63.0
2020,Anteil Erneuerbarer Energien,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),57.0
